iter	Passed	Remaining
0	0	105
1	1	112
2	2	107
3	3	104
4	4	102
5	4	101
6	5	103
7	6	101
8	7	100
9	8	100
10	9	98
11	9	97
12	10	96
13	11	95
14	12	94
15	13	94
16	13	92
17	14	92
18	15	91
19	16	90
20	17	89
21	17	88
22	18	87
23	19	86
24	20	86
25	21	85
26	22	84
27	22	83
28	23	82
29	24	82
30	25	81
31	26	81
32	27	80
33	28	79
34	29	78
35	30	78
36	30	77
37	31	77
38	32	76
39	33	75
40	34	74
41	35	73
42	35	72
43	36	71
44	37	70
45	38	70
46	39	69
47	39	68
48	40	67
49	41	66
50	42	65
51	43	64
52	43	63
53	44	62
54	45	61
55	46	60
56	46	60
57	47	59
58	48	58
59	49	57
60	50	56
61	50	55
62	51	54
63	52	54
64	53	53
65	54	52
66	55	51
67	55	51
68	56	50
69	57	49
70	58	48
71	59	47
72	59	46
73	60	45
74	61	44
75	62	44
76	62	43
77	63	42
78	64	41
79	65	40
80	66	39
81	66	39
82	67	38
83	68	37
84	69	36
85	70	35
86	70	35
87	71	34
88	72	33
89	73	32
90	73	31
91	74	30
92	75	30
93	76	29
94	77	28
95	78	27
96	78	26
97	79	25
98	80	25
99	81	24
100	81	23
101	82	22
102	83	21
103	84	21
104	84	20
105	85	19
106	86	18
107	87	17
108	88	16
109	88	16
110	89	15
111	90	14
112	91	13
113	91	12
114	92	12
115	93	11
116	94	10
117	95	9
118	95	8
119	96	8
120	97	7
121	98	6
122	98	5
123	99	4
124	100	4
125	101	3
126	101	2
127	102	1
128	103	0
129	104	0
